ID,StartX,StartY,StartZ,EndX,EndY,EndZ,crime,bench,restaurant,bar/pub,cafe,bakery,dessert_store,food_stall,market,Square,Greenery,Waterway,Traffic_Light,Step,Ramp,No_Lighting,Pothole
000037,-13354.8991229273,6712869.5174113,0,-13343.1660485977,6712858.67726279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000038,-14372.7600189447,6711579.56943751,0,-14339.4420953503,6711592.35737571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000039,-12980.9880853018,6709951.80193177,0,-12980.2533766626,6709953.28610821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000040,-12967.83012149,6709946.9738898,0,-12967.0731489526,6709948.45806536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000041,-15131.7140432751,6712289.41085043,0,-15113.9585844935,6712266.39060703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000042,-15143.2467425213,6712295.17039314,0,-15118.5560794633,6712262.29454878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000043,-15235.3302253055,6712157.99779417,0,-15288.7858447844,6712112.47682001,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
000044,-15160.9354096083,6712223.3194949,0,-15228.806903145,6712163.91822247,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000045,-15233.014779897,6712149.53749172,0,-15216.8511898338,6712105.87674702,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000046,-15225.9014644353,6712155.58311922,0,-15207.6895957415,6712105.78731517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000047,-15306.3743243297,6712105.16129228,0,-15378.821048938,6712085.00338065,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000048,-14806.1156646538,6712424.51076139,0,-14850.2983705497,6712381.76077901,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000049,-15008.0380890037,6712715.75322099,0,-14999.8672383795,6712698.40216253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000050,-15001.7151419267,6712718.79413194,0,-14993.9784373166,6712703.17817184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000051,-15312.9755701338,6712548.41542927,0,-15200.9770304466,6712605.79822071,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
000052,-15189.7448938256,6712608.35612886,0,-15132.7827103867,6712632.30748962,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000053,-15231.756869651,6712794.37007769,0,-15127.1165483053,6712845.4759133,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
000054,-15078.1805001526,6712749.66838627,0,-15151.9964544976,6712713.0164021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000055,-15115.1051752487,6712851.79037725,0,-15046.4321813783,6712887.90634307,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
000056,-15495.7399101182,6712302.79016708,0,-15450.2992939763,6712331.51642116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000057,-15436.6292605069,6712340.35253711,0,-15383.8526899218,6712378.27281964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000058,-15757.986366529,6712803.58234149,0,-15681.8327028773,6712846.58496894,0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000059,-15549.1621337498,6712397.89484644,0,-15637.5498094397,6712557.5379782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000060,-14732.2551825125,6711885.51965536,0,-14677.8533473618,6711920.30777737,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000061,-14775.0909225697,6711907.60875418,0,-14845.0997503296,6711868.9215703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000062,-15476.1810755858,6712048.15763735,0,-15330.5083899337,6711804.58642431,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000063,-15460.4738954348,6712053.36253565,0,-15318.8421072986,6711810.66756733,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000064,-15270.5405802434,6711835.79704471,0,-15316.7381689226,6711925.53047997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000065,-14938.5747267487,6711883.94569756,0,-14970.6903998426,6711937.19214308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000066,-15898.2377929794,6711981.87149145,0,-15772.7584629572,6711783.60651573,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000067,-15793.775582819,6712156.87094577,0,-15684.2594677766,6711972.55284012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000068,-15733.7521133833,6712192.16104988,0,-15623.4790258034,6712008.73645376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000069,-15896.8796951917,6712800.14786522,0,-15796.7144173759,6712828.21401838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000070,-15836.6892465198,6712839.82330948,0,-15801.0336136187,6712847.55092074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000071,-13902.0678160235,6713332.20485087,0,-13895.4443063213,6713322.59843049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000072,-13443.2534027699,6713190.16694026,0,-13491.2543672,6713155.19450966,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000073,-15292.0363739155,6713215.13967311,0,-15296.4223618528,6713214.62089779,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000074,-14262.2976882305,6711939.26691924,0,-14299.2223633267,6711950.23104689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000075,-13202.2578371516,6713394.45902287,0,-13206.38779026,6713394.15490651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000076,-14062.7352370854,6709949.51308188,0,-14066.1416135037,6709951.39065401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000077,-14084.9657393968,6709965.73174296,0,-14067.4774473932,6709962.33422584,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000078,-13263.6950641204,6713026.93373437,0,-13309.9149166978,6713130.09674021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000079,-14165.5610507312,6711625.92804464,0,-14171.9619214518,6711627.69869111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
000080,-15542.3939087096,6710893.87917296,0,-15539.1879073748,6710895.95368352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
000081,-13317.5959615625,6712816.51530416,0,-13338.5908175261,6712780.9005146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000082,-13833.517273593,6710452.96824546,0,-13834.9087672279,6710453.11130739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000083,-14488.6436088605,6711086.6499564,0,-14471.7453101581,6711095.46683846,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0
000084,-15486.8677467019,6710299.75035347,0,-15481.2906402132,6710307.74379272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000085,-13284.0442670374,6713534.96199716,0,-13274.7602215052,6713533.40561023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000086,-13269.2721706091,6713474.47779946,0,-13259.4983193175,6713471.79439381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000087,-12723.4838391988,6710150.73762936,0,-12727.7473756962,6710153.86699374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000088,-12834.1799408436,6712299.58843021,0,-12825.0740064967,6712302.62918587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
000089,-13368.1127464845,6713531.54510209,0,-13362.6469594865,6713525.65945898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000090,-13862.148646625,6710379.88180719,0,-13860.5345140085,6710389.41322869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000091,-15756.8620396719,6711162.92613817,0,-15754.9362124812,6711168.09470246,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
000092,-15519.8739757221,6710810.39844512,0,-15528.1004860918,6710823.18517638,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
000093,-15118.5004197179,6710831.17912905,0,-15122.4188657938,6710835.84674262,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
000094,-15105.041893281,6710840.71107839,0,-15105.0864210773,6710840.12091985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000095,-14741.2275334704,6710816.72921585,0,-14740.3147136459,6710818.10624855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000096,-14436.0340175116,6711052.02634958,0,-14435.1768574325,6711051.6507844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000097,-14585.3913783089,6713024.73346253,0,-14581.7846268072,6713026.14664519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000098,-14193.5467707166,6710369.72450723,0,-14190.1403942983,6710375.23233733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000099,-13517.6148226198,6713665.21653671,0,-13516.8578500825,6713663.92847174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000100,-13192.8068123832,6712287.42541895,0,-13192.8513401795,6712276.06732924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000101,-13924.9773672288,6712705.14581694,0,-13920.7472265786,6712708.25827471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000102,-14154.6406086844,6712495.70160636,0,-14154.0506153831,6712487.16940444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000103,-15156.4826299766,6711986.16415591,0,-15141.7327974465,6711988.99016125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000104,-14840.4354636654,6711665.27583477,0,-14863.5676538522,6711708.91633331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000105,-12975.0102286462,6710870.70191856,0,-12953.8817892936,6710943.36354708,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
000106,-13727.2628196308,6711053.79687135,0,-13714.6725852221,6711050.98907437,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000107,-14011.8844936911,6713530.25705825,0,-14022.0256993023,6713522.92236803,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000108,-13032.8629680115,6711115.55076565,0,-13030.3137516723,6711122.5077208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000109,-13303.4138584354,6712642.19929695,0,-13308.2562562849,6712634.36455526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000110,-14907.8171514426,6713059.5980024,0,-14923.7024427788,6713053.65903484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000111,-12639.2372485664,6712356.59384406,0,-12643.6232365037,6712369.41877562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000112,-13267.1904961313,6712240.97361507,0,-13262.103195402,6712245.82090298,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000113,-12874.2883533764,6712109.77597649,0,-12881.8692106995,6712107.82636152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000114,-15610.5325690242,6713124.73015664,0,-15593.6565342199,6713063.96278855,0,86,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000115,-12762.52358462,6713068.84634304,0,-12769.2250179657,6713069.11467029,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
000116,-14435.3772325159,6711818.71614596,0,-14444.2605278812,6711820.20066244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000117,-14302.9960940645,6713530.22127926,0,-14312.5584383237,6713523.29804713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000118,-14509.8611038057,6714033.46835179,0,-14495.4674936461,6714043.45131344,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000119,-15622.2211155575,6711380.0444303,0,-15632.0728904927,6711373.39129623,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000120,-13247.8543005805,6713920.90146598,0,-13345.5260218025,6713879.78953591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000121,-15667.0160786527,6710086.98826811,0,-15669.6098227882,6710110.28846771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000122,-14921.7988794862,6711194.33102917,0,-14933.1757314453,6711213.80713,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
000123,-14922.4222686346,6711219.45860599,0,-14910.8005137958,6711200.03614479,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
000124,-14898.1768835399,6711157.97218862,0,-14901.5164682637,6711163.08709687,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
000125,-15642.0471168678,6711125.49438461,0,-15634.9783292024,6711130.18005099,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
000126,-15642.6593740671,6711105.75023222,0,-15637.594337236,6711097.73812605,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
000127,-13840.6083251565,6710651.16508353,0,-13840.1064029928,6710666.14748622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000128,-13840.1064029928,6710666.14748622,0,-13839.7845609247,6710675.75448869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000129,-13156.004588727,6710215.88230244,0,-13157.6875770091,6710201.50760998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000130,-13157.6875770091,6710201.50760998,0,-13159.7185967411,6710184.16032102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000131,-13159.7185967411,6710184.16032102,0,-13161.2366047943,6710171.19475308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000132,-13471.7177965658,6713754.50498137,0,-13406.072692845,6713790.53549841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000133,-13267.5467185018,6712098.70431605,0,-13222.4289288833,6712010.75758966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000134,-13069.4091568389,6712004.51532199,0,-13072.8044013081,6712011.32994682,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000135,-15223.1741369108,6711742.36228342,0,-15212.9104798597,6711723.43937072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000136,-15162.5495422248,6714032.1802286,0,-15153.9779414337,6714038.06623762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000137,-12607.2774227597,6714018.02877749,0,-12595.677931819,6714021.98259384,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000138,-12532.9382668079,6712637.56642367,0,-12570.5976505433,6712622.14738176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000139,-12605.0176370966,6712604.81441009,0,-12599.8078849275,6712608.19514161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
000140,-13931.0331475279,6711801.83202573,0,-13935.6640383449,6711807.89528099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000141,-14009.2239578611,6711833.06052135,0,-14003.2127053583,6711833.14995021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000142,-12731.5878981285,6712516.50447572,0,-12729.2167929746,6712511.04885996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000143,-14052.6051634232,6713046.16377773,0,-14049.0206758197,6713047.55907567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000144,-13345.9045080712,6711915.88994593,0,-13342.0305897916,6711909.55832125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000145,-12577.9781327829,6713692.19438878,0,-12518.0103230926,6713710.62095712,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000146,-15547.3253621518,6712394.78250722,0,-15475.6578739791,6712442.59460805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000147,-14564.7082169195,6711911.74040603,0,-14556.5707621425,6711915.6753145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000148,-14554.5892752064,6711911.436345,0,-14562.1923964276,6711907.3583511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000149,-14205.2019214027,6711906.21365143,0,-14182.4927452808,6711911.88349357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000150,-14282.9474537727,6711765.82818704,0,-14281.3889809016,6711760.06901846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
000151,-12994.1460491136,6710021.68368915,0,-12962.7094249135,6710012.33151545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000152,-14534.0508291551,6710164.84660167,0,-14455.2588935716,6710159.57138103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000153,-13194.4098130507,6710337.76843658,0,-13204.1502684951,6710337.98302646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000154,-13045.2305634386,6709985.29431646,0,-13048.0246826575,6709989.80051006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000155,-14562.5374868491,6712529.13289867,0,-14510.3843054124,6712560.31051961,0,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000156,-12678.9894387287,6713010.26177071,0,-12686.5814280008,6713007.32808106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
000157,-14132.5770856091,6713132.06448841,0,-14149.1970855846,6713122.42252679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000158,-12612.1420845074,6712950.37177919,0,-12610.2385212148,6712945.23786074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
000159,-12577.8222854958,6713046.78987293,0,-12576.2192848284,6713043.03330246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000160,-15080.1619870887,6710083.78740169,0,-15072.2916990896,6710085.37889378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000161,-15084.4811833315,6710109.30495833,0,-15076.5774994852,6710111.07527531,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000162,-13805.4202341168,6711653.23896789,0,-13805.4895233895,6711653.44896742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
000163,-13805.4895233895,6711653.44896742,0,-13805.9100398763,6711654.72345422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000164,-14538.4368170923,6713375.99739122,0,-14553.7432470764,6713366.08680388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000165,-13828.0292226969,6712531.92331772,0,-13815.9844537931,6712540.86697494,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
000166,-13811.0307364528,6712544.90951123,0,-13800.8672669433,6712551.42050309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000167,-14257.2103875013,6712302.73650667,0,-14256.2530398805,6712304.22111134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000168,-14262.8988134808,6712295.17039314,0,-14271.1691719301,6712279.97121161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000169,-14271.1691719301,6712279.97121161,0,-14275.2107491625,6712272.54364164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000170,-14637.9007821161,6713117.44949724,0,-14635.91929518,6713103.15652632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000171,-13112.2115010489,6713950.58161754,0,-13108.0592840423,6713955.96663554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
